Last updated,Ticket updated,Ticket created - Date,Country,Brand(상세),Category,Requested Channel type,1차 Defect Reason or Inquiries,2차 Defect Reason or Inquiries,Device,Product Name,Power Accessories _categories,Product Name: Caseology,Purchase Date - Date,ESC. 사유,Tier 2 Escalated,❗사진/영상 유무❗,최종 고객 대응,Order ID,ASIN,★문의SKU,T1 → T2,T2 → T3,"✅전체 주문 (Product Issue, 아크테크X)",❎전체 환불,✳️슈피겐 환불,Agent replies brackets,Agent replies,Agent wait time (min),On-hold time (min),링크,MCF 발송
1000153694,2026-08-14,2026-08-14,NL,SP,4. Product Issue,spigen.support@spigen.com,(SP)_표면스크래치,,iPhone 17 Pro,SP_Glas.tR EZ Fit Pro,,,2026-01-14,,FALSE,Yes,50% 환불,405-9591663-0800357,B0FCFC9WL2,AGL09999,,,10,7,0,3-5,4,0,0,https://spigenhelp.zendesk.com/agent/tickets/1000153694,
1000153825,2026-08-20,2026-08-20,IT,CASE,4. Product Issue,Amazon Buyer Message,(Case)_버튼부파손,,Galaxy S21 Plus,Liquid Air,,,2026-07-05,기타 사항,TRUE,Yes,일반안내,171-9693510-6918765,B08LKLZP25,ACS02386,1,,1,0,0,>5,6,1141,15,https://spigenhelp.zendesk.com/agent/tickets/1000153825,0
1000154265,2026-08-18,2026-08-18,JP,CASE,4. Product Issue,Amazon Buyer Message,(Case)_TPU늘어남,,iPhone 17,Rugged Armor MagFit,,,2026-04-04,,FALSE,No,일반안내,250-8855298-3254237,B0FD2C5LLX,ACS09975,,,N/A,N/A,N/A,1,1,0,0,https://spigenhelp.zendesk.com/agent/tickets/1000154265,0
1000154350,2026-08-15,2026-08-15,DE,CASE,4. Product Issue,SQ_website,(Case)_황변,,Galaxy S23 Ultra,Liquid Crystal,,,2026-03-26,,FALSE,Yes,환불,306-4874503-4038733,B0BJS3GDS7,ACS05610,,,1,0,0,3-5,3,0,0,https://spigenhelp.zendesk.com/agent/tickets/1000154350,0
1000154547,2026-08-22,2026-08-22,IN,CASE,4. Product Issue,spigen.support@spigen.com,(Case)_황변,,iPhone 16 Pro,Thin Fit Clear T MagFit,,,2025-12-16,,FALSE,Yes,회수 (교품/환불),402-0440469-9045163,B0FS1WBDS9,ACS10806,,,3,0,0,3-5,3,0,0,https://spigenhelp.zendesk.com/agent/tickets/1000154547,
1000154604,2026-08-17,2026-08-17,DE,SDA,4. Product Issue,SQ_website,(SDA)_불량,,Apple Watch Series 10 (42mm),Sleek Link,,,2025-07-25,MCF발송,TRUE,Yes,일반안내,028-4104942-6809155,B0CMJTDKHF,AMP07225,1,,8,1,0,3-5,3,12,0,https://spigenhelp.zendesk.com/agent/tickets/1000154604,1
1000154701,2026-08-14,2026-08-14,IN,CASE,4. Product Issue,spigen.support@spigen.com,(Case)_이염/변색,,iPhone 14 Plus,CYRILL_UltraColor Mag,,,2026-06-29,,FALSE,Yes,환불,171-5652158-4643549,B0F1S67BY7,ACS04944,,,1,0,0,3-5,3,0,0,https://spigenhelp.zendesk.com/agent/tickets/1000154701,0
1000154799,2026-08-15,2026-08-15,IT,CASE,4. Product Issue,SQ_website,(Case)_프레임파손,2차_(Other Inquiry)_감사인사,Galaxy S24 Ultra,Neo Hybrid,,,2026-05-14,MCF발송,TRUE,Yes,MCF 발송,406-8722117-1911527,B0CM4RFSHG,ACS07305,1,,1,0,0,3-5,3,29,0,https://spigenhelp.zendesk.com/agent/tickets/1000154799,1
1000154851,2026-08-24,2026-08-24,IN,n/a,7. Other Inquiry,spigen.support@spigen.com,(Other Inquiry)_기타사항,,알 수 없음_추가정보 필요,알 수 없음  (No product info),,,,,FALSE,No,타부서 소관,69757,해당없음,해당없음,,,N/A,N/A,N/A,1,1,0,0,https://spigenhelp.zendesk.com/agent/tickets/1000154851,
1000154927,2026-08-19,2026-08-19,IN,CASE,4. Product Issue,spigen.support@spigen.com,(Case)_코팅벗겨짐,,iPhone 15 Pro Max,Tough Armor MagFit,,,2026-02-21,사진 도용/편집,TRUE,Yes,도움불가,171-9336147-3767538,B0C5S9F6YV,ACS06593,1,,1,0,0,>5,6,3095,0,https://spigenhelp.zendesk.com/agent/tickets/1000154927,
