Marketplace,ChildASIN,ParentASIN,OrderID,ReviewID,ASINTitle,ReviewTitle,ReviewText,Rating,ReviewCreatedAt(UTC),Author,VerifiedPurchase,HasImages,ReviewDetailURL,ProductURL,FirstSeenAt(UTC),Source,SyncDate(PT)
DE,B08DQT3F3C,B08DQT3F3C,306-3998339-3545964,RNL5X5FGAZ4PS,"Spigen Glas.tR EZ Fit Schutzfolie kompatibel mit iPhone 12, iPhone 12 Pro, 2 Stück, Kratzfest, 9H Härte Folie",Tolle Installation - aber totale Umweltsauerei!,"Zur Qualität der Panzerfolie kann ich erst nach längerer Zeit etwas schreiben. Aber ohnehin ist in der Werbung der USP (unique selling point) die Installation. Sie beinhaltet die üblichen Wischtücher und Staubsticker sowie einen großen Installationsrahmen aus Plastik. Den gibt es gleich zweimal für 2 Folien. In der Tat ist die Installation damit narrensicher. Keine Blasen, kein Hin- und Herruckeln. Sehr beeindruckend. Sehr beeindruckt bin ich auch von der Masse an Ex- und Hopp Plastik. Und wenn es noch so gut geht, aber dies ist eine Umweltsauerei schlechthin. In Zukunft wieder andere.",3,2026-06-08 11:39:02,Lagos 90210,Y,N,https://www.amazon.de/gp/customer-reviews/RNL5X5FGAZ4PS,https://www.amazon.de/dp/B08DQT3F3C,2026-06-10 06:12:58,daily_full_refresh,2026-06-10
DE,B0F1C2D3L1,B0FH2BV1QP,303-2052111-4417915,R10F1SSD4PKHV1,"Spigen Ultra Hybrid Pro MagFit Hülle für Samsung Galaxy Z Flip 7, Kompatibel mit MagSafe -Neo One",Top,Top,5,2026-06-08 11:27:17,Kim,Y,N,https://www.amazon.de/gp/customer-reviews/R10F1SSD4PKHV1,https://www.amazon.de/dp/B0F1C2D3L1,2026-06-10 06:12:58,daily_full_refresh,2026-06-10
DE,B0BJS2688G,B0DZ6KTTZM,305-3959955-2625941,R16LBQD1F04IAP,Spigen Liquid Air Hülle Kompatibel mit Samsung Galaxy S23 Plus 5G -Abyss Green,Wie beschrieben eingelangt,Lieferung wie beschrieben eingelangt = OK,4,2026-06-08 11:16:42,Hermann Teskey,Y,N,https://www.amazon.de/gp/customer-reviews/R16LBQD1F04IAP,https://www.amazon.de/dp/B0BJS2688G,2026-06-10 06:12:58,daily_full_refresh,2026-06-10
DE,B0DK5WPRWW,B0F2H26QMR,306-4234262-7967551,R2O38SW5UOJ6L1,Spigen MagSlide Ausweishalter mit Band Vertikale Ausweishülle Abnehmenbares Lanyard ID Bage Holder - Schwarz,Spitze,Ist nicht billig aber bisher der beste Ausweishalter den ich verwendet habe. Vor allem das einfache Lösen vom Band und magnetische wieder anklipsen ist großartig.,5,2026-06-08 10:29:00,Matthias,Y,N,https://www.amazon.de/gp/customer-reviews/R2O38SW5UOJ6L1,https://www.amazon.de/dp/B0DK5WPRWW,2026-06-10 06:12:58,daily_full_refresh,2026-06-10
DE,B0G29Q3VZK,B0G29NPF4H,305-2899744-1099545,R2D7YRR83I2QA5,"Spigen Glas.tR Slim Schutzfolie kompatibel mit Xiaomi 15T Pro, Xiaomi 15T, 2 Stück, Kristallklar, Hochauflösend, Präzise Berührung, Kratzfest, 9H Härte Folie",Naja nach 2 Monaten wieder kaputt,War jetzt auch nicht wirklich besser als die günstigsten Folien,2,2026-06-08 10:25:35,Sebastian,Y,N,https://www.amazon.de/gp/customer-reviews/R2D7YRR83I2QA5,https://www.amazon.de/dp/B0G29Q3VZK,2026-06-10 06:12:58,daily_full_refresh,2026-06-10
DE,B0BZ67PG7L,B0BZ67PG7L,,R3EMG04D6TES0X,Spigen Thin Fit Hülle Kompatibel mit Google Pixel 8 -Metal Slate,Weak,"First time i dropped my phone, it got brocken. The case didn't help.",3,2026-06-08 09:51:51,Göker,Y,N,https://www.amazon.de/gp/customer-reviews/R3EMG04D6TES0X,https://www.amazon.de/dp/B0BZ67PG7L,2026-06-10 06:12:58,daily_full_refresh,2026-06-10
DE,B0FCV9SC23,B0FCV9SC23,302-5289443-0481902,R1GXHFDT0YSTNW,"Spigen Liquid Crystal Hülle für AirPods Pro 3. Generation (2025), TPU-Schutzhülle mit silbernem Lanyard - Kristallklar",Würde ich immer wieder kaufen,"Spigen ist immer nochmal einen Tick besser als die Billigprodukte, passt wie angegossen um das Case der Airpods, Material ist mittelweich und kristallklar",5,2026-06-08 09:01:30,Thomas D.,Y,N,https://www.amazon.de/gp/customer-reviews/R1GXHFDT0YSTNW,https://www.amazon.de/dp/B0FCV9SC23,2026-06-10 06:12:58,daily_full_refresh,2026-06-10
DE,B0FBDNQ625,B0FDQP46Z2,304-4960700-3281157,R2RSVXG28KRCNK,"Spigen Glas.tR EZ Fit Optik Kameraschutz kompatibel mit Google Pixel 10 Pro XL, 2 Stück, Kristallklar, Rundumschutz, Anti-Kratzer, 9H Härte Schutzfolie",Schutz ja. Fotoqualität leidet etwas.,"Dieses Schutzglas erfüllt voll und ganz seinen Zweck.<br />Alles absolut in Ordnung<br />Kann man absolut empfehlen.<br /><br />Warum dann nur 3 Sterne.<br />Ganz einfach.<br />Ich kaufe mir nicht ein Handy für über 1000 Euro wegen der Kamera um mich dann durch einen Schutz wie dieses Glas hier einzuschränken.<br />Die Qualität leider unter dem Schutzglas.<br />Auch wenn viele schreiben das es nicht so wäre.<br />Man sieht das nicht nur im Vergleich der Bilder, sondern extrem wenn man wie ich das Glas nimmt und einfach Mal durch schaut.<br />Sehr euch durch dieses Glas verschiedene Motive direkt an und schon sieht man den Unterschied.<br />Nicht erst wenn es auf dem Handy klebt.<br />Sondern direkt so.<br />Deshalb kam es wieder runter und ein Alurahmen ohne Glas drauf und das Kameraglas zu schützen.",3,2026-06-08 08:33:40,U.C.,Y,N,https://www.amazon.de/gp/customer-reviews/R2RSVXG28KRCNK,https://www.amazon.de/dp/B0FBDNQ625,2026-06-10 06:12:58,daily_full_refresh,2026-06-10
DE,B0FLRDQYV3,B0FLRDQYV3,305-7416708-1965932,R32KER11U105FY,"Spigen Tesla Model Y Juniper 2025~ Model 3 Highland 2024~ (Nur Standard & Premium, Nicht Performance) Handyhalterung Auto für MagSafe Autohalterung, Tesla Zubehör für iPhone 17 16 15 Pro Max 17e",Toll für ein zusätzliches Display im Auto.,"Hochwertige Halterung von Spigen mit angenehmer Haptik und guter Verarbeitung. Der Luftstrom wird zwar etwas beeinträchtigt, was konstruktionsbedingt jedoch nicht anders möglich ist. Da sich die Halterung leicht entfernen lässt, gibt es von mir eine klare Empfehlung. Ideal für Enhance-Auto!",4,2026-06-08 07:47:47,Chris,Y,N,https://www.amazon.de/gp/customer-reviews/R32KER11U105FY,https://www.amazon.de/dp/B0FLRDQYV3,2026-06-10 06:12:58,daily_full_refresh,2026-06-10
DE,B0D222735M,B0FZBKYBP6,,R2UKXLA1ZIGSVA,Spigen für iPhone 16 Pro Hülle [Anti-Yellowing] Ultra Hybrid MagFit Case Handyhülle Transparent Dünn Slim Kompatibel mit MagSafe -Carbon Fiber,Top!!,Sehr zufrieden!!,5,2026-06-08 07:39:50,Kara,Y,N,https://www.amazon.de/gp/customer-reviews/R2UKXLA1ZIGSVA,https://www.amazon.de/dp/B0D222735M,2026-06-10 06:12:58,daily_full_refresh,2026-06-10
DE,B0CFGJWKXB,B0CFGJWKXB,,R19IWDOH0R3T2V,"Caseology Reisepasshülle mit Standfunktion und RFID-Blockierung, Reisepass Kartenhalter, Reisepass Organizer mit Zubehör inklusive SIM-Karten-Pin – Mulberry Indigo",A little bulky but convenient,"A pretty convenient case. It can hold pretty much everything I need, but it is a little bulky (nothing too cumbersome, and it could be because I'm not used to using wallets).",4,2026-06-08 07:30:22,Billie Yankie,Y,N,https://www.amazon.de/gp/customer-reviews/R19IWDOH0R3T2V,https://www.amazon.de/dp/B0CFGJWKXB,2026-06-10 06:12:58,daily_full_refresh,2026-06-10
DE,B0CVR4XWBL,B0CVR4XWBL,304-6125304-6051502,R20O95WAKU825K,Spigen Ultra Hybrid ZeroOne Hülle für Google Pixel 9 Pro und Pixel 9 [Made for Google],Prima,"Sieht toll aus, passt genau.",5,2026-06-08 06:08:36,Amazon Kunde,Y,N,https://www.amazon.de/gp/customer-reviews/R20O95WAKU825K,https://www.amazon.de/dp/B0CVR4XWBL,2026-06-10 06:12:58,daily_full_refresh,2026-06-10
